roi,35m,35,60,int,mv
0.5339608141869241,23.136653378345216,23.153550953066567,22.02052789939348,20.593385342745435,23.035956874865953
1.243694786767027,23.124467050148574,23.07382269955714,21.97911024960277,20.360513033407184,22.959958930851844
2.025357329505472,22.99120481937375,22.847753670982026,21.82792465972223,20.005762317054227,22.759315155265085
2.816858108787662,22.828678420499845,22.498261332701937,21.572505110689995,19.325175736915973,22.430568505612705
3.613526955050545,22.73654635646317,22.18525847632881,21.43800307157724,18.395944988451866,22.18364664060548
4.411098382983023,22.558660344168523,21.751507095791748,21.186287124214452,16.95763387800723,21.81649045842355
5.2082055995468535,22.677044921631634,21.606843271005868,21.26208738985788,14.348178536873096,21.75863804596096
6.005806206700016,22.748370297819577,21.43712406088116,21.291171067192188,8.937828434721443,21.596523152949317
6.804754141111065,22.816715386495538,21.22648202133029,21.312484814093132,14.934780282508038,21.330853682782674
7.6040327982291585,22.92123417535738,21.043375102400447,21.33925244437468,15.79588503207297,21.223499730213042
8.402167960039414,23.045309592472837,20.939119301857502,21.426048127254226,15.291425466418737,21.233420637377954
9.20188323359972,23.105032229147007,20.771799854188075,21.417766756578317,14.390761638640734,21.187252952354584
10.00095540265149,23.073253552708884,20.499359331561443,21.293611041817062,12.984654932567922,21.041398022549203
10.800835434677879,23.071193982138144,20.271243289919113,21.194244486371684,11.751769791503024,20.935109424960498
11.601061463347891,23.14249729500739,20.178837247019494,21.18432886880326,10.98921239006065,20.93724457624304
12.400714864283934,23.250554737361746,20.153312897869494,21.199891710072954,10.486001124170194,20.979725514701816
13.200502464483607,23.40204997210613,20.236064355316095,21.282372720531765,10.527989074974546,21.097096382964207
13.99946165668951,23.556500239178327,20.25458120849904,21.324675437890292,10.280173172366018,21.16157188568158
14.800330796102724,23.775064780010766,20.377281767708478,21.433044365555354,10.129806213104178,21.29499724499832
15.572883886161124,23.753139948242005,20.3564966879293,21.231375560359705,10.163220286546029,21.120768948112534
