freq,frc_60,frc_35,frc_int,frc_mv,frc_60_s,frc_35_s,frc_int_s,frc_mv_s
0.0,1.0000000000000002,1.0,1.0,1.0,0.9995394033093257,0.999544404103299,0.922390921400624,0.999536109100527
0.006666666666666667,0.9998216109400094,0.9998445929215865,0.8213709830926962,0.999819175296819,0.9992786406916154,0.9992918389321601,0.9006749658659181,0.9992770041034584
0.013333333333333334,0.9994132259090915,0.9993791461014198,0.8467744727572896,0.9993449060978136,0.9989231593333703,0.9989507816139092,0.8821278251363696,0.9989266055039345
0.02,0.99826349661801,0.9981727157857395,0.678376577539316,0.9983260217459528,0.9984545685360167,0.9985044124427322,0.8690332465667334,0.9984689822059551
0.02666666666666667,0.9993471676957094,0.9992659498161709,0.9284569508094448,0.9992891336120492,0.9978532912499138,0.9979348272508812,0.8620472657709852,0.9978878157837174
0.03333333333333333,0.9978538157222797,0.9982490027331804,0.8489556268791043,0.9979076452852672,0.9971010035415111,0.9972256730146098,0.8601428392950577,0.99716809585583
0.04,0.9964517505487209,0.9965619624231047,0.8894508536407347,0.9963357373368952,0.9961838886503106,0.9963659154216322,0.8612838712453251,0.9962982736545503
0.04666666666666667,0.9968282779533423,0.9971800002429058,0.8533026869927434,0.9971021480117183,0.9950973553989871,0.9953525028214434,0.8633848010183167,0.9952729760620572
0.05333333333333334,0.995148767840112,0.9947342542794511,0.8962033790897707,0.9949470095608106,0.9938440572801107,0.9941866418127554,0.8650197532191256,0.9940905964713915
0.06,0.9918940572782536,0.9920085772743429,0.8703778689635607,0.9922471326359882,0.9924274254373525,0.9928665732783115,0.865632382166799,0.9927486359117613
0.06666666666666667,0.9913973159336066,0.9919849852013081,0.8679808155436256,0.9920574587694496,0.9908410185210983,0.9913800950372653,0.8652813148458047,0.9912375182280124
0.07333333333333333,0.9880515740888841,0.9905683681138191,0.8188684263014899,0.9893555128982944,0.989059838400559,0.9897027312494839,0.8642132284539006,0.9895379498768926
0.08,0.9904463254721879,0.9913306077729173,0.8843900487966869,0.9909539159207116,0.9870441104463455,0.9878049730395679,0.862531520572208,0.9876267630413221
0.08666666666666667,0.9866514664166469,0.9853351096349382,0.8743546242017864,0.9860967454928039,0.9847501407891903,0.9856605442269071,0.8601133202622935,0.9854840202056473
0.09333333333333334,0.9868502786557726,0.9875815354805016,0.8822953927217011,0.9870810878651991,0.9821376831266814,0.9832446552191073,0.8567327756640563,0.9830926458250028
0.1,0.977403605611109,0.9776898894631295,0.8463201568111103,0.97777039352257,0.9791710567523504,0.9805273042152812,0.8522439597787228,0.9804326978703033
0.10666666666666667,0.9720823991935322,0.9757922797192974,0.8430868482926218,0.9742794005679759,0.9758121395788227,0.9774652026628278,0.8466927858541569,0.9774734182259966
0.11333333333333333,0.9805892656187347,0.9809060766820203,0.8428670502389445,0.9817732897351897,0.9720253442211207,0.9740141336268322,0.840287412333359,0.9741852984730777
0.12,0.970038689345459,0.975239591986798,0.823917507864781,0.9743680019897726,0.9677953263477195,0.9701513571849462,0.8333279859348732,0.9705651852746169
0.12666666666666668,0.9711533398625574,0.9716720603805803,0.871442329027324,0.9728611303000326,0.9631529321757334,0.9658932246239732,0.826084991852779,0.9666601992948687
0.13333333333333333,0.9536870300927616,0.9548292366916492,0.7773105508527277,0.955542612662701,0.958186383448769,0.9612911400506194,0.8187281956851733,0.9625687533956209
0.14,0.9452130936485142,0.9496790153927823,0.8027483790759341,0.9509836207223662,0.9530235839918376,0.9563997455898541,0.8112478816029174,0.9584070422861904
0.14666666666666667,0.9592944546807681,0.9610879763202135,0.8094718644579769,0.9626319074531006,0.9477948888367133,0.9512567724458518,0.8034390795834211,0.9542680114017064
0.15333333333333332,0.9408278424063333,0.9516415760836962,0.8179193728369132,0.9504439236445928,0.9425793129872236,0.9458815548368497,0.7949761753816101,0.9501848425396464
0.16,0.9249246091305586,0.9347617286402103,0.786730154353804,0.9393648820422132,0.9373743787377724,0.9403029994375836,0.785596468669489,0.9461301149014436
0.16666666666666666,0.937514057804338,0.9400270714590416,0.8003378991608151,0.9458908048159702,0.9320844302281226,0.9345843558986434,0.7752848617561804,0.9420336090773804
0.17333333333333334,0.9289087234113375,0.9215066991658601,0.7476125014067324,0.9345105852147458,0.9265444513337218,0.9288179692719922,0.764352313158519,0.9378134607184465
0.18,0.9346132131666974,0.932112051759502,0.7676759685962148,0.9491014725982719,0.9205696284514797,0.9230944754241759,0.7533158139076174,0.9334077912130088
0.18666666666666668,0.9078431070785612,0.9040717656264589,0.7045167713976773,0.9199708574262598,0.9140109517596137,0.9174673577988937,0.7426533992378458,0.9287972047468293
0.19333333333333333,0.9099444682472054,0.9117480938453385,0.7210267108125178,0.9203379892352134,0.9067842022222523,0.9119342835071492,0.732573902291508,0.924003228214224
0.2,0.9037938758367066,0.917695317935385,0.7359341038124055,0.9267360265591794,0.8988771417879711,0.9064562539957356,0.7229627779897987,0.9190769989812355
0.20666666666666667,0.897677365131439,0.8927865528910655,0.7263389012065996,0.9118808483456317,0.8903239920564601,0.9009887109877841,0.7135363513783399,0.9140709787691312
0.21333333333333335,0.8874094111556324,0.9120608893158361,0.7149681810543308,0.9165171281018506,0.8811721881171456,0.8955046843303371,0.7040985800580507,0.9090153821124631
0.22,0.8461208828177694,0.8661024283885247,0.7001246914877047,0.8811070199825201,0.8714541371195778,0.8899733508013082,0.6947079625678192,0.903893031705854
0.22666666666666666,0.8922115291518141,0.8918207705357921,0.6705904455212753,0.919901834049028,0.861179595150981,0.8843212272846716,0.6856221758232047,0.8986307945245238
