roi,35m,35,60,int,mv
0.5339608141869241,23.001542388698297,22.96891410147078,21.901713936050374,20.500786948872328,22.76268200074968
1.243694786767027,22.956492850735014,22.910006606166625,21.900961378237103,20.264622554640003,22.734015951667907
2.025357329505472,22.82526203403851,22.667406655170105,21.720707651389684,19.908483287660847,22.505773806687696
2.816858108787662,22.661832526552477,22.345523738479017,21.480587483539647,19.257320656267783,22.20962318792221
3.613526955050545,22.57145743239375,22.054492585492774,21.343706926518664,18.35725101335127,21.980249384283482
4.411098382983023,22.409933207076588,21.63349119706688,21.093579057755978,16.926171782664944,21.625335500683562
5.2082055995468535,22.51682581653342,21.501181735085453,21.17167976428791,14.333078769364057,21.58511347572589
6.005806206700016,22.5824688363306,21.342098973554773,21.223785292306395,8.955957720165738,21.44743748477432
6.804754141111065,22.658899299898906,21.153467488334265,21.224621478933212,14.924865638245707,21.173232142349296
7.6040327982291585,22.76841307893356,20.978467497441926,21.264065736765808,15.778386643949961,21.073851370522373
8.402167960039414,22.894996663465207,20.876360698356443,21.34997332941866,15.276352414744023,21.08753978045781
9.20188323359972,22.961616579131885,20.717424228392947,21.351887037209707,14.379234640485496,21.049907331219032
10.00095540265149,22.922953006651788,20.453899848173997,21.217127279078994,12.982099655903895,20.89708243360949
10.800835434677879,22.928954704104623,20.234015295123733,21.129322807311084,11.749553543227362,20.800204162473808
11.601061463347891,23.007334382453667,20.14332919244227,21.124373912621333,10.98893352225653,20.809634907266215
12.400714864283934,23.111519344504224,20.121935838432087,21.144728737966613,10.483094021741554,20.854163108802606
13.200502464483607,23.257475747482804,20.205722876448597,21.227173810393406,10.525157552156854,20.97277249656452
13.99946165668951,23.41347836647224,20.22754278543247,21.26992817294523,10.27861230246508,21.035578174704845
14.800330796102724,23.62937418205128,20.349730852668312,21.39013544156456,10.127039240066358,21.177246395174034
15.572883886161124,23.59658521475088,20.323731630071343,21.17199650729067,10.16117610254363,20.953851477738276
