freq,frc_60,frc_35,frc_int,frc_mv,frc_60_s,frc_35_s,frc_int_s,frc_mv_s
0.0,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9995459894531429,0.9995542646039128,0.9224557228264982,0.9995543754547671
0.006666666666666667,0.9998199229600816,0.9998382006760421,0.8209468277188959,0.9998390580927371,0.9992841439588036,0.9993037736114262,0.9007701643136321,0.999301591230167
0.013333333333333334,0.9994243874671133,0.9993681940470278,0.8469914172192703,0.9994009686227129,0.9989237826692012,0.9989627674237866,0.8822449036820126,0.9989570098438412
0.02,0.9983782737937218,0.9983654622894874,0.6792475685478903,0.9983604423218072,0.998445148749562,0.9985134956968649,0.8691513297890459,0.9985036420306725
0.02666666666666667,0.9993916697611835,0.9992731896165367,0.929190181791431,0.9993388735753476,0.9978284549329792,0.9979373967736548,0.8621352196564896,0.9979246235470246
0.03333333333333333,0.9978082127639073,0.9981548474278213,0.8487273446036919,0.9980047323276019,0.9970564147957335,0.9972173830633291,0.8601648340459043,0.9972053619530369
0.04,0.9962335494859933,0.9964807036917781,0.8890684993410757,0.9964162571943874,0.9961173682989457,0.9963408739996484,0.861206515001611,0.9963360694088903
0.04666666666666667,0.9968671196763742,0.9972285259200174,0.8531964544275601,0.9970611730022618,0.9950091704560986,0.9953012682645281,0.8631849571654797,0.9953138079542375
0.05333333333333334,0.99504214740176,0.9948750462906529,0.8964628104494823,0.9950453073938416,0.9937359854914727,0.9940935827386681,0.864692244227393,0.9941382817774149
0.06,0.9915816492041798,0.9916320304183626,0.870634410396827,0.9919000048116011,0.9923021650087789,0.9927078876729962,0.8651970291751804,0.9928057043150222
0.06666666666666667,0.9910874033402016,0.9921549697034528,0.8662974113271659,0.9921135713960082,0.9907021286783637,0.9911236661806389,0.8647839768705144,0.9913016809158484
0.07333333333333333,0.9883576692314708,0.9908641100362563,0.8167304794390539,0.9901001687973445,0.9889135924695063,0.9893109989383477,0.8637163351158476,0.9895998704913789
0.08,0.9903509258243469,0.9898841945053655,0.8830571396381058,0.990517385337824,0.9869032610534799,0.9872427356451131,0.8620944775720656,0.987672038978563
0.08666666666666667,0.9861170859277992,0.9864733258315304,0.8755218320691371,0.9869104242915233,0.9846349094893186,0.9849059747055989,0.8597712382683312,0.9854987599821347
0.09333333333333334,0.9869131045719487,0.9851709182992625,0.8804683407796859,0.9869163055093179,0.9820721389175567,0.9823019156053596,0.856487789978792,0.9830724481439879
0.1,0.9759751057060019,0.9768529511600801,0.8491451007123323,0.9774152192288496,0.9791702234806305,0.979433013638316,0.8520748468197442,0.9803875111093989
0.10666666666666667,0.9728107311032486,0.9748028007457474,0.8455249650311818,0.9747848263304176,0.9758628157032054,0.9762826482411154,0.8465740936305539,0.977423822860612
0.11333333333333333,0.9805192641555358,0.9769495833952618,0.8403940718757542,0.9798485250865134,0.9720667383047501,0.9728092321732287,0.8401964162918293,0.9741450149105361
0.12,0.9709007954167954,0.9729109654022556,0.8183418760954719,0.9731613910779252,0.9677079782933731,0.9689572043018618,0.8332265089878953,0.9705139209911172
0.12666666666666668,0.9750380165049545,0.972121783234693,0.8731799621368245,0.9755591024558171,0.9627621307737195,0.9646836707444642,0.825886782959333,0.9665210150739925
0.13333333333333333,0.9510947031521324,0.954922079410173,0.779225354628816,0.9558759194239775,0.9572782832717831,0.9599798768753379,0.8182855426785725,0.9622021764601527
0.14,0.9450805523867415,0.950970803968275,0.8082342983571653,0.9522192502136968,0.9513725382308476,0.9548861828738984,0.8104010275247503,0.9576387626631425
0.14666666666666667,0.958744363142154,0.9634068397142544,0.8118161722616152,0.9641241790127261,0.9451952016177873,0.9494952427887378,0.8021186916169614,0.9529418376736412
0.15333333333333332,0.9348004827924127,0.9447917937218846,0.8134764166151974,0.946516969851756,0.9388793999587571,0.9439379836002009,0.7933109358737257,0.9482247176775827
0.16,0.927871106557859,0.9299912340792374,0.7797515800298843,0.9398655322258048,0.9324964220515448,0.938348555088723,0.7839299566402117,0.9435740620511835
0.16666666666666666,0.9262916985800452,0.9305654783353133,0.7848297343327103,0.9347521338154182,0.9260138880451443,0.9328090790108788,0.7740618444581414,0.9390146631656067
0.17333333333333334,0.9168933564025444,0.920542901652388,0.738166546459739,0.9299863575031146,0.9192723317972461,0.9272912143876512,0.7638928231616132,0.9344779326437285
0.18,0.9215723845727425,0.9310127217616104,0.7751052899227197,0.9407652130952361,0.9120076106265386,0.9216427748144996,0.7536000081169749,0.929802844424404
0.18666666666666668,0.9033561995041955,0.9167792530282645,0.7292397342391795,0.9222298718101524,0.9039328814474631,0.9156384109436801,0.7432372765067432,0.9247819712729548
0.19333333333333333,0.9113666156411121,0.9194283823162518,0.7293950334160625,0.9265797366659901,0.8948443906651764,0.9090710640070133,0.7326837550541023,0.919232535426487
0.2,0.8935978028515997,0.9004149315109946,0.7264424356895445,0.9166692555115882,0.8847278211548392,0.9018460382497958,0.7217182545293067,0.9130740847690246
0.20666666666666667,0.8813410041654525,0.9079458161011281,0.7339336048601609,0.9182031512595955,0.8737682706637075,0.8940132978635574,0.7101765472561294,0.9063502447429714
0.21333333333333335,0.8539061016999284,0.8814890850232532,0.6902215831486935,0.8952904384479364,0.8622713617760432,0.8857320291271025,0.6981246279985751,0.8991900747176591
0.22,0.8256654628738965,0.8592261374842084,0.7100928504581677,0.8727023570612428,0.850509672417878,0.8771840136407077,0.6859261036999837,0.8917184474552691
0.22666666666666666,0.862159451124637,0.8794471950834951,0.6505321033577305,0.897592211218852,0.8385932397567832,0.8684828882144836,0.6740982921753406,0.8839712469876231
