n_roi,n_full,psnr_full,psnr_mv,psnr_full_roi,psnr_mv_roi,xnull_full,xnull_full_roi,xnull_mv,xnull_mv_roi
273,2,24.13726100060684,18.10925489327504,21.54965875418312,20.630419279007818,0.002348671,0.003633867,0.09043138,0.008153773
273,3,24.138965386780473,19.307324252857285,21.54975725736813,21.251062479686663,0.0023484898,0.003634278,0.065769285,0.004984453
273,9,24.139528066067292,21.02500857247074,21.54926924980132,21.50035606868119,0.0023275358,0.003632929,0.03838289,0.003690565
273,18,24.139437415458033,21.88165670120856,21.548856269803906,21.509594338006337,0.0023096455,0.0036331194,0.027570367,0.0036015057
273,32,24.141250980431714,22.609087450477677,21.54916928731452,21.5104996084677,0.0022787773,0.0036296977,0.01892069,0.003565032
273,49,24.146233560496047,23.09499168777922,21.5493886759874,21.51603236483671,0.0022450113,0.0036258325,0.013367151,0.0035361531
273,69,24.14762282144033,23.45138384119181,21.549451386439728,21.51926125234834,0.0022275979,0.0036199184,0.009406768,0.0035194457
273,94,24.14977798207017,23.73340993660642,21.550036819645367,21.529402940120065,0.0021830164,0.003615462,0.0063922564,0.0034981873
273,122,24.153742518234967,23.898318908813245,21.552062709871585,21.536299734842054,0.0021554423,0.0036108778,0.0045232926,0.0034805955
273,154,24.15587496005895,23.98863944054826,21.55304394867858,21.548048961016036,0.0021219489,0.0036052745,0.0032943913,0.0034707966
273,190,24.160058535951535,24.095180528097867,21.554926720860706,21.567790789998433,0.0020794126,0.0035907396,0.0025229848,0.003448963
273,229,24.164755317593468,24.15946171180501,21.556925871882644,21.576740403640034,0.002043886,0.0035781558,0.002138861,0.0034373042
273,273,24.141861087579343,24.157352818121176,21.550477154371315,21.565187520011676,0.002346204,0.0036327248,0.0023221546,0.0035270676
